STNAME	CTYNAME	CENSUS2010POP
Illinois	White	14665
Illinois	Whiteside	58498
Illinois	Will	677560
Illinois	Williamson	66357
Illinois	Winnebago	295266
Illinois	Woodford	38664
Indiana	Indiana	6483802
Indiana	Adams	34387
Indiana	Allen	355329
Indiana	Bartholomew	76794
Indiana	Benton	8854
Indiana	Blackford	12766
Indiana	Boone	56640
Indiana	Brown	15242
Indiana	Carroll	20155
Indiana	Cass	38966
Indiana	Clark	110232
Indiana	Clay	26890
Indiana	Clinton	33224
Indiana	Crawford	10713
Indiana	Daviess	31648
Indiana	Dearborn	50047
Indiana	Decatur	25740
Indiana	DeKalb	42223
Indiana	Delaware	117671
Indiana	Dubois	41889
Indiana	Elkhart	197559
Indiana	Fayette	24277
Indiana	Floyd	74578
Indiana	Fountain	17240
Indiana	Franklin	23087
Indiana	Fulton	20836
Indiana	Gibson	33503
Indiana	Grant	70061
Indiana	Greene	33165
Indiana	Hamilton	274569
Indiana	Hancock	70002
Indiana	Harrison	39364
Indiana	Hendricks	145448
Indiana	Henry	49462
Indiana	Howard	82752
Indiana	Huntington	37124
Indiana	Jackson	42376
Indiana	Jasper	33478
Indiana	Jay	21253
Indiana	Jefferson	32428
Indiana	Jennings	28525
Indiana	Johnson	139654
Indiana	Knox	38440
Indiana	Kosciusko	77358
Indiana	LaGrange	37128
Indiana	Lake	496005
Indiana	LaPorte	111467
Indiana	Lawrence	46134
Indiana	Madison	131636
Indiana	Marion	903393
Indiana	Marshall	47051
Indiana	Martin	10334
Indiana	Miami	36903
Indiana	Monroe	137974
Indiana	Montgomery	38124
Indiana	Morgan	68894
Indiana	Newton	14244
Indiana	Noble	47536
Indiana	Ohio	6128
Indiana	Orange	19840
Indiana	Owen	21575
Indiana	Parke	17339
Indiana	Perry	19338
Indiana	Pike	12845
Indiana	Porter	164343
Indiana	Posey	25910
Indiana	Pulaski	13402
Indiana	Putnam	37963
Indiana	Randolph	26171
Indiana	Ripley	28818
Indiana	Rush	17392
Indiana	St. Joseph	266931
Indiana	Scott	24181
Indiana	Shelby	44436
Indiana	Spencer	20952
Indiana	Starke	23363
Indiana	Steuben	34185
Indiana	Sullivan	21475
Indiana	Switzerland	10613
Indiana	Tippecanoe	172780
Indiana	Tipton	15936
Indiana	Union	7516
Indiana	Vanderburgh	179703
Indiana	Vermillion	16212
Indiana	Vigo	107848
Indiana	Wabash	32888
Indiana	Warren	8508
Indiana	Warrick	59689
Indiana	Washington	28262
Indiana	Wayne	68917
Indiana	Wells	27636
Indiana	White	24643
Indiana	Whitley	33292
Iowa	Iowa	3046355
Iowa	Adair	7682
Iowa	Adams	4029
Iowa	Allamakee	14330
Iowa	Appanoose	12887
Iowa	Audubon	6119
Iowa	Benton	26076
Iowa	Black Hawk	131090
Iowa	Boone	26306
Iowa	Bremer	24276
Iowa	Buchanan	20958
Iowa	Buena Vista	20260
Iowa	Butler	14867
Iowa	Calhoun	9670
Iowa	Carroll	20816
Iowa	Cass	13956
Iowa	Cedar	18499
Iowa	Cerro Gordo	44151
Iowa	Cherokee	12072
Iowa	Chickasaw	12439
Iowa	Clarke	9286
Iowa	Clay	16667
Iowa	Clayton	18129
Iowa	Clinton	49116
Iowa	Crawford	17096
Iowa	Dallas	66135
Iowa	Davis	8753
Iowa	Decatur	8457
Iowa	Delaware	17764
Iowa	Des Moines	40325
Iowa	Dickinson	16667
Iowa	Dubuque	93653
Iowa	Emmet	10302
Iowa	Fayette	20880
Iowa	Floyd	16303
Iowa	Franklin	10680
Iowa	Fremont	7441
Iowa	Greene	9336
Iowa	Grundy	12453
Iowa	Guthrie	10954
Iowa	Hamilton	15673
Iowa	Hancock	11341
Iowa	Hardin	17534
